model,test_set,regime_class,depth_level,rmse_T,rmse_S,r_T,r_S,n_profiles
oceanembed,spatial,well_mixed,0.0,0.5041882991790771,0.6997151374816895,0.9086806136168385,0.5582901655481136,220
oceanembed,spatial,well_mixed,10.0,0.5244722962379456,0.6767459511756897,0.8903535812237778,0.5824784740363018,220
oceanembed,spatial,well_mixed,20.0,0.633310079574585,0.6064774990081787,0.8288108149037423,0.5739697650941619,220
oceanembed,spatial,well_mixed,30.0,0.7767277956008911,0.5454088449478149,0.6920635520323529,0.5213044862785002,220
oceanembed,spatial,well_mixed,50.0,0.7874122858047485,0.513559103012085,0.3309706786989281,0.5215412491138359,220
oceanembed,spatial,well_mixed,75.0,1.3273717164993286,0.473209947347641,0.2677982448191826,0.43287549559451566,220
oceanembed,spatial,well_mixed,100.0,2.1428191661834717,0.2753930389881134,0.24986072071857796,0.14537154339435143,220
oceanembed,spatial,well_mixed,125.0,1.800661325454712,0.1497282087802887,0.3250056190495481,-0.04741301931084877,220
oceanembed,spatial,well_mixed,150.0,1.5279357433319092,0.0892014279961586,0.3950652297019599,0.11906337214788525,220
oceanembed,spatial,well_mixed,200.0,0.9422966837882996,0.05099787190556526,0.2877801102148004,0.39167456243120313,220
oceanembed,spatial,well_mixed,250.0,0.5167214870452881,0.030098887160420418,0.16463957768958767,0.4870910566010082,220
oceanembed,spatial,well_mixed,300.0,0.37885358929634094,0.02501421421766281,-0.0042652532995297995,0.3191805527248463,220
oceanembed,spatial,well_mixed,400.0,0.23345378041267395,0.02742530032992363,-0.10477027162533709,0.011471243176973142,220
oceanembed,spatial,well_mixed,500.0,0.21136926114559174,0.031207511201500893,-0.13150093852272804,0.021769513922497822,220
oceanembed,spatial,well_mixed,700.0,0.19680596888065338,0.03300381451845169,-0.0588331681289119,0.20231361102073647,220
oceanembed,spatial,well_mixed,1000.0,0.18813946843147278,0.026085706427693367,0.08588099000973397,0.21841668476932788,220
oceanembed,spatial,well_mixed,1500.0,0.1782541275024414,0.01696244440972805,0.13317863368316898,0.13081398453558613,220
oceanembed,spatial,well_mixed,2000.0,0.08170662075281143,0.011921157129108906,-0.018280731486087762,-0.03772719217916419,220
oceanembed,spatial,well_mixed,-1.0,0.9489985704421997,0.35770168900489807,0.99468124715151,0.9223564217443978,220
oceanembed,spatial,barrier_layer_stratified,0.0,0.6012386083602905,0.9199599623680115,0.8377483190564559,0.5323708090272773,789
oceanembed,spatial,barrier_layer_stratified,10.0,0.5570679306983948,0.9033748507499695,0.8491598233541666,0.5385534223359493,789
oceanembed,spatial,barrier_layer_stratified,20.0,0.5426687598228455,0.7702914476394653,0.8126894931484627,0.5389147935645312,789
oceanembed,spatial,barrier_layer_stratified,30.0,0.6608074903488159,0.7052413821220398,0.6520454610076354,0.4752800914142009,789
oceanembed,spatial,barrier_layer_stratified,50.0,1.04230535030365,0.6432916522026062,0.3105650615761656,0.40176529009507095,789
oceanembed,spatial,barrier_layer_stratified,75.0,1.638110637664795,0.4676807224750519,0.4804977825701891,0.3801093452774314,789
oceanembed,spatial,barrier_layer_stratified,100.0,1.936469316482544,0.25205564498901367,0.5372350555137968,0.2334488656361208,789
oceanembed,spatial,barrier_layer_stratified,125.0,1.8050535917282104,0.14786523580551147,0.48146857788362946,0.08748296856714222,789
oceanembed,spatial,barrier_layer_stratified,150.0,1.6001594066619873,0.11033987998962402,0.36180515435885596,0.08136074203891956,789
oceanembed,spatial,barrier_layer_stratified,200.0,1.0497907400131226,0.0722942054271698,0.22421336895371483,0.149968939672538,789
oceanembed,spatial,barrier_layer_stratified,250.0,0.6471279263496399,0.05373573675751686,0.17557677405084088,0.09734473306127431,789
oceanembed,spatial,barrier_layer_stratified,300.0,0.4649101197719574,0.046171560883522034,0.12180942367675855,0.08379165374061484,789
oceanembed,spatial,barrier_layer_stratified,400.0,0.2874698340892792,0.03884720802307129,0.10387606962343325,0.10550103640750794,789
oceanembed,spatial,barrier_layer_stratified,500.0,0.26095378398895264,0.04124258831143379,0.12826622216169994,0.16693312391739773,789
